Term,event,date,source,start_date,end_date,canon_text
Fall 2025,Commencement,12/12/2025,https://reg.uga.edu/general-information/calendars/academic-calendars/,12/12/2025,12/12/2025,Fall 2025 — Commencement — 2025-12-12 — source: https://reg.uga.edu/general-information/calendars/academic-calendars/
Fall 2025,Grades Due,12/15/2025,https://reg.uga.edu/general-information/calendars/academic-calendars/,12/15/2025,12/15/2025,Fall 2025 — Grades Due — 2025-12-15 — source: https://reg.uga.edu/general-information/calendars/academic-calendars/
Spring 2026,Classes Begin,1/12/2026,https://reg.uga.edu/general-information/calendars/academic-calendars/,1/12/2026,1/12/2026,Spring 2026 — Classes Begin — 2026-01-12 — source: https://reg.uga.edu/general-information/calendars/academic-calendars/
Spring 2026,Drop / Add for undergraduate and graduate level courses,01/12/2026 - 01/16/2026,https://reg.uga.edu/general-information/calendars/academic-calendars/,1/12/2026,1/16/2026,Spring 2026 — Drop / Add for undergraduate and graduate level courses — 2026-01-12 to 2026-01-16 — source: https://reg.uga.edu/general-information/calendars/academic-calendars/
Spring 2026,Holiday: Martin Luther King Jr. Day- No Classes,1/19/2026,https://reg.uga.edu/general-information/calendars/academic-calendars/,1/19/2026,1/19/2026,Spring 2026 — Holiday: Martin Luther King Jr. Day- No Classes — 2026-01-19 — source: https://reg.uga.edu/general-information/calendars/academic-calendars/
Spring 2026,Midterm,2-Mar,https://reg.uga.edu/general-information/calendars/academic-calendars/,3/2/2026,3/2/2026,Spring 2026 — Midterm — 2026-03-02 — source: https://reg.uga.edu/general-information/calendars/academic-calendars/
Spring 2026,Last Day of Classes prior to Spring Break,3/6/2026,https://reg.uga.edu/general-information/calendars/academic-calendars/,3/6/2026,3/6/2026,Spring 2026 — Last Day of Classes prior to Spring Break — 2026-03-06 — source: https://reg.uga.edu/general-information/calendars/academic-calendars/
Spring 2026,Spring Break- No Classes,03/09/2026 - 03/13/2026,https://reg.uga.edu/general-information/calendars/academic-calendars/,3/9/2026,3/13/2026,Spring 2026 — Spring Break- No Classes — 2026-03-09 to 2026-03-13 — source: https://reg.uga.edu/general-information/calendars/academic-calendars/
Spring 2026,Classes Resume,3/16/2026,https://reg.uga.edu/general-information/calendars/academic-calendars/,3/16/2026,3/16/2026,Spring 2026 — Classes Resume — 2026-03-16 — source: https://reg.uga.edu/general-information/calendars/academic-calendars/
Spring 2026,Withdrawal Deadline,9-Apr,https://reg.uga.edu/general-information/calendars/academic-calendars/,4/9/2026,4/9/2026,Spring 2026 — Withdrawal Deadline — 2026-04-09 — source: https://reg.uga.edu/general-information/calendars/academic-calendars/
Spring 2026,MW and Monday Only Class Schedule in Effect (Does not include MWF Classes),27-Apr,https://reg.uga.edu/general-information/calendars/academic-calendars/,4/27/2026,4/27/2026,Spring 2026 — MW and Monday Only Class Schedule in Effect (Does not include MWF Classes) — 2026-04-27 — source: https://reg.uga.edu/general-information/calendars/academic-calendars/
Spring 2026,Classes End,27-Apr,https://reg.uga.edu/general-information/calendars/academic-calendars/,4/27/2026,4/27/2026,Spring 2026 — Classes End — 2026-04-27 — source: https://reg.uga.edu/general-information/calendars/academic-calendars/
Spring 2026,Reading Day,28-Apr,https://reg.uga.edu/general-information/calendars/academic-calendars/,4/28/2026,4/28/2026,Spring 2026 — Reading Day — 2026-04-28 — source: https://reg.uga.edu/general-information/calendars/academic-calendars/
Spring 2026,Final Exams,04/29/2026 - 05/05/2026,https://reg.uga.edu/general-information/calendars/academic-calendars/,4/29/2026,5/5/2026,Spring 2026 — Final Exams — 2026-04-29 to 2026-05-05 — source: https://reg.uga.edu/general-information/calendars/academic-calendars/
Spring 2026,Graduate Commencement,7-May,https://reg.uga.edu/general-information/calendars/academic-calendars/,5/7/2026,5/7/2026,Spring 2026 — Graduate Commencement — 2026-05-07 — source: https://reg.uga.edu/general-information/calendars/academic-calendars/
Spring 2026,Undergraduate Commencement,8-May,https://reg.uga.edu/general-information/calendars/academic-calendars/,5/8/2026,5/8/2026,Spring 2026 — Undergraduate Commencement — 2026-05-08 — source: https://reg.uga.edu/general-information/calendars/academic-calendars/
Spring 2026,Grades Due,11-May,https://reg.uga.edu/general-information/calendars/academic-calendars/,5/11/2026,5/11/2026,Spring 2026 — Grades Due — 2026-05-11 — source: https://reg.uga.edu/general-information/calendars/academic-calendars/
